Year, city1                                  , city2                                  , nsmiles, fare
2024, "Albany, NY"                           , "Miami, FL (Metropolitan Area)"        ,    1225, 204.33
2024, "Albany, NY"                           , "Tampa, FL (Metropolitan Area)"        ,    1138, 123.79
2024, "Amarillo, TX"                         , "Dallas/Fort Worth, TX"                ,     323, 168.52
2024, "Denver, CO"                           , "Phoenix, AZ"                          ,     602, 179.3
2024, "Denver, CO"                           , "Washington, DC (Metropolitan Area)"   ,    1491, 258.66
2024, "Denver, CO"                           , "Houston, TX"                          ,     883, 177.99
2024, "Denver, CO"                           , "New York City, NY (Metropolitan Area)",    1659, 303.86
2024, "Denver, CO"                           , "San Francisco, CA (Metropolitan Area)",     967, 227.38
2024, "Denver, CO"                           , "Miami, FL (Metropolitan Area)"        ,    1709, 287.58
2024, "Denver, CO"                           , "Los Angeles, CA (Metropolitan Area)"  ,     862, 201.8
2024, "Denver, CO"                           , "Tampa, FL (Metropolitan Area)"        ,    1506, 215.38
2024, "Denver, CO"                           , "Norfolk, VA (Metropolitan Area)"      ,    1553, 266.62
2024, "Aspen, CO"                            , "New York City, NY (Metropolitan Area)",    1750, 680.71
2024, "Aspen, CO"                            , "Los Angeles, CA (Metropolitan Area)"  ,     737, 394.78
2024, "Atlanta, GA (Metropolitan Area)"      , "Dallas/Fort Worth, TX"                ,     731, 218.21
2024, "Atlanta, GA (Metropolitan Area)"      , "Phoenix, AZ"                          ,    1587, 326.35
2024, "Atlanta, GA (Metropolitan Area)"      , "Cleveland, OH (Metropolitan Area)"    ,     554, 259.4
2024, "Atlanta, GA (Metropolitan Area)"      , "Boston, MA (Metropolitan Area)"       ,     952, 253.94
2024, "Atlanta, GA (Metropolitan Area)"      , "Washington, DC (Metropolitan Area)"   ,     577, 172.32
2024, "Atlanta, GA (Metropolitan Area)"      , "Chicago, IL"                          ,     606, 170.22
2024, "Atlanta, GA (Metropolitan Area)"      , "Columbus, OH"                         ,     447, 218.33
2024, "Atlanta, GA (Metropolitan Area)"      , "Houston, TX"                          ,     696, 203.37
2024, "Atlanta, GA (Metropolitan Area)"      , "New York City, NY (Metropolitan Area)",     795, 189.63
2024, "Atlanta, GA (Metropolitan Area)"      , "San Francisco, CA (Metropolitan Area)",    2139, 254.49
2024, "Atlanta, GA (Metropolitan Area)"      , "Miami, FL (Metropolitan Area)"        ,     594, 153.27
2024, "Atlanta, GA (Metropolitan Area)"      , "Los Angeles, CA (Metropolitan Area)"  ,    1947, 322.27
2024, "Atlanta, GA (Metropolitan Area)"      , "Tampa, FL (Metropolitan Area)"        ,     406, 197.07
2024, "Atlanta, GA (Metropolitan Area)"      , "Norfolk, VA (Metropolitan Area)"      ,     516, 289.79
2024, "Appleton, WI"                         , "Phoenix, AZ"                          ,    1463, 168.3
2024, "Austin, TX"                           , "Dallas/Fort Worth, TX"                ,     190, 196.4
2024, "Austin, TX"                           , "Phoenix, AZ"                          ,     872, 246.04
2024, "Austin, TX"                           , "Boston, MA (Metropolitan Area)"       ,    1698, 238.61
2024, "Austin, TX"                           , "Washington, DC (Metropolitan Area)"   ,    1342, 252.96
2024, "Austin, TX"                           , "Chicago, IL"                          ,     977, 205.93
2024, "Austin, TX"                           , "Columbus, OH"                         ,    1073, 258.77
2024, "Austin, TX"                           , "New York City, NY (Metropolitan Area)",    1559, 272.43
2024, "Austin, TX"                           , "San Francisco, CA (Metropolitan Area)",    1504, 243.58
2024, "Austin, TX"                           , "Miami, FL (Metropolitan Area)"        ,    1105, 174.05
2024, "Austin, TX"                           , "Los Angeles, CA (Metropolitan Area)"  ,    1242, 234.08
2024, "Austin, TX"                           , "Tampa, FL (Metropolitan Area)"        ,     928, 233.69
2024, "Asheville, NC"                        , "New York City, NY (Metropolitan Area)",     617, 168.39
2024, "Asheville, NC"                        , "Miami, FL (Metropolitan Area)"        ,     677, 106.73
2024, "Chicago, IL"                          , "Key West, FL"                         ,    1251, 434.0
2024, "Tucson, AZ"                           , "Washington, DC (Metropolitan Area)"   ,    1976, 345.48
2024, "Phoenix, AZ"                          , "Pittsburgh, PA"                       ,    1814, 318.1
2024, "Phoenix, AZ"                          , "Seattle, WA"                          ,    1107, 203.63
2024, "Phoenix, AZ"                          , "Washington, DC (Metropolitan Area)"   ,    1999, 305.24
2024, "Phoenix, AZ"                          , "St. Louis, MO"                        ,    1262, 275.48
2024, "Phoenix, AZ"                          , "Sioux Falls, SD"                      ,    1081, 137.57
2024, "Phoenix, AZ"                          , "Spokane, WA"                          ,    1034,  97.71
2024, "Phoenix, AZ"                          , "San Francisco, CA (Metropolitan Area)",     651, 161.23
2024, "Phoenix, AZ"                          , "Sacramento, CA"                       ,     647, 217.4
2024, "Phoenix, AZ"                          , "Tampa, FL (Metropolitan Area)"        ,    1788, 313.49
2024, "Phoenix, AZ"                          , "San Antonio, TX"                      ,     843, 238.74
2024, "Phoenix, AZ"                          , "San Diego, CA"                        ,     304, 177.07
2024, "Phoenix, AZ"                          , "Portland, OR"                         ,    1028, 100.05
2024, "Phoenix, AZ"                          , "Provo, UT"                            ,     477,  86.1
2024, "Phoenix, AZ"                          , "Raleigh/Durham, NC"                   ,    1891, 341.28
2024, "Phoenix, AZ"                          , "Richmond, VA"                         ,    1965, 283.61
2024, "Phoenix, AZ"                          , "Reno, NV"                             ,     601, 221.13
2024, "Phoenix, AZ"                          , "Salt Lake City, UT"                   ,     507, 197.82
2024, "Phoenix, AZ"                          , "Tulsa, OK"                            ,     935, 249.89
2024, "Hartford, CT"                         , "Phoenix, AZ"                          ,    2213, 252.05
2024, "Hartford, CT"                         , "Washington, DC (Metropolitan Area)"   ,     325, 211.65
2024, "Hartford, CT"                         , "Miami, FL (Metropolitan Area)"        ,    1194, 175.56
2024, "Hartford, CT"                         , "Los Angeles, CA (Metropolitan Area)"  ,    2527, 389.53
2024, "Hartford, CT"                         , "Tampa, FL (Metropolitan Area)"        ,    1111, 171.64
2024, "Seattle, WA"                          , "Washington, DC (Metropolitan Area)"   ,    2335, 283.64
2024, "Seattle, WA"                          , "Tampa, FL (Metropolitan Area)"        ,    2520, 288.73
2024, "Birmingham, AL"                       , "Dallas/Fort Worth, TX"                ,     597, 208.1
2024, "Birmingham, AL"                       , "Washington, DC (Metropolitan Area)"   ,     682, 227.31
2024, "Birmingham, AL"                       , "Chicago, IL"                          ,     584, 199.88
2024, "Birmingham, AL"                       , "Houston, TX"                          ,     570, 205.41
2024, "Birmingham, AL"                       , "New York City, NY (Metropolitan Area)",     902, 287.38
2024, "Birmingham, AL"                       , "Tampa, FL (Metropolitan Area)"        ,     459, 213.88
2024, "El Paso, TX"                          , "Phoenix, AZ"                          ,     347, 193.41
2024, "El Paso, TX"                          , "Washington, DC (Metropolitan Area)"   ,    1741, 367.26
2024, "El Paso, TX"                          , "Houston, TX"                          ,     677, 189.99
2024, "El Paso, TX"                          , "New York City, NY (Metropolitan Area)",    1944, 462.37
